nombre,apellido1,apellido2,sexo,fecha_nacimiento,ano_nacimiento,email,telefono,provincia,nif,d_aprendizaje,d_audicion,d_autocuidado,d_comunicacion,d_movilidad,d_relaciones_sociales,d_vida_domestica,d_vision,edad_en_dias,edad,enfermedad_terminal,enfermedad_terminal_en_dias,valoracion_usuario,fecha_cancelacion,id_provincia,id_usuario
Rómulo,Rocha,Torrijos,Hombre,1909-06-07,1909,rquero@example.net,+34980042670,Cádiz,91870708-U,0,0,0,0,0,0,0,0,41829,114,No,0,44,,113,0001
Natalia,Gargallo,Lasa,Mujer,1916-07-13,1916,vvall@example.org,+34846 196 803,Cantabria,45456306-M,0,0,0,0,0,0,0,0,39236,107,No,0,59,,114,0002
Sebastián,Rios,Grau,Hombre,1909-11-07,1909,otilia81@example.net,+34811220351,Sevilla,49339620-S,0,0,0,0,0,0,0,0,41676,114,No,0,46,,144,0003
Roxana,Gallardo,Puente,Mujer,1924-07-06,1924,jimenezbernabe@example.net,+34 886 468 628,Teruel,80393395-R,0,0,0,0,0,0,0,0,36321,99,No,0,52,,147,0004
Mariana,Báez,Campos,Mujer,1941-03-02,1941,gbilbao@example.com,+34843 71 03 60,"Coruña, A",91951581-H,0,0,0,0,0,0,0,0,30238,82,No,0,2,,119,0005
Yago,Roura,Guardia,Hombre,1918-06-18,1918,moratalalo@example.org,+34828 62 73 02,Teruel,97268906-U,0,0,0,0,0,0,0,0,38531,105,No,0,62,,147,0006
Azahara,Durán,Águila,Mujer,1963-03-31,1963,leocadia49@example.net,+34 928 449 646,Navarra,53218654-I,0,0,0,0,0,0,0,0,22174,60,No,0,67,,136,0007
Nélida,Ayllón,Gimenez,Mujer,1919-03-01,1919,cruzleiva@example.com,+34 948 69 77 93,Alicante,76951825-P,0,0,0,0,0,0,0,0,38275,104,No,0,40,,103,0008
José María,Burgos,Julián,Hombre,1912-10-25,1912,adalbertoizquierdo@example.org,+34 878 80 24 09,Alicante,21593052-A,0,0,0,0,0,0,0,0,40593,111,No,0,68,,103,0009
Olalla,Poza,Criado,Mujer,1905-06-02,1905,fabio38@example.org,+34902 04 59 52,Valencia,34478343-D,0,0,0,0,0,0,0,0,43295,118,No,0,89,,149,0010
Antonia,Posada,Casado,Mujer,1922-11-02,1922,ibarradesiderio@example.org,+34922245696,Sevilla,30437325-J,0,0,0,0,0,0,0,0,36933,101,No,0,69,,144,0011
Prudencia,Valcárcel,Ojeda,Mujer,1920-02-26,1920,adelaida40@example.net,+34 922829586,"Coruña, A",22870671-F,0,0,0,0,0,0,0,0,37913,103,No,0,65,,119,0012
Teobaldo,Pazos,Carretero,Hombre,1955-07-30,1955,pedroartigas@example.net,+34 952 75 98 33,Navarra,70150600-A,0,0,0,0,0,0,0,0,24975,68,No,0,66,,136,0013
Heraclio,Benavent,Gallardo,Hombre,1917-08-20,1917,estrella00@example.net,+34864213631,Cáceres,41767247-P,0,0,0,0,0,0,0,0,38833,106,No,0,27,,112,0014
Pascual,Anguita,Otero,Hombre,1951-06-09,1951,manuelitavarela@example.com,+34 881174265,Navarra,43119164-K,0,0,0,0,0,0,0,0,26487,72,No,0,84,,136,0015
Ema,Anaya,Guerra,Mujer,1938-10-17,1938,salometorre@example.net,+34 882 594 674,Santa Cruz de Tenerife,47534911-V,0,0,0,0,0,0,0,0,31105,85,No,0,58,,142,0016
Yésica,Bautista,Valencia,Mujer,1907-12-13,1907,iolmo@example.net,+34924 31 87 93,Gipuzkoa,12371339-T,0,0,0,0,0,0,0,0,42371,116,No,0,60,,121,0017
Sebastián,Tudela,Benítez,Hombre,1922-09-27,1922,joaquinasantana@example.com,+34881 35 09 02,Asturias,60491666-O,0,0,0,0,0,0,0,0,36969,101,No,0,16,,105,0018
Florina,Osorio,Castrillo,Mujer,1950-09-10,1950,znicolas@example.net,+34987499365,Valencia,70336767-H,0,0,0,0,0,0,0,0,26759,73,No,0,69,,149,0019
Serafina,Ramirez,Alarcón,Mujer,1914-10-06,1914,palmiramanzanares@example.com,+34879 547 736,Madrid,27453744-G,0,0,0,0,0,0,0,0,39882,109,No,0,69,,132,0020
Chus,Villa,Samper,Mujer,1916-10-26,1916,cuencagloria@example.com,+34849225750,Murcia,58506060-C,0,0,0,0,0,0,0,0,39131,107,No,0,77,,135,0021
Consuela,Borrell,Vargas,Mujer,1948-09-18,1948,mburgos@example.com,+34987 02 24 59,Burgos,97641950-Q,0,0,0,0,0,0,0,0,27481,75,No,0,55,,111,0022
Ruben,Pedro,Muro,Hombre,1933-05-10,1933,fabianadelgado@example.net,+34 842 444 428,Zamora,65917345-N,0,0,0,0,0,0,0,0,33091,90,No,0,0,,151,0023
Benjamín,Mínguez,Godoy,Hombre,1958-01-08,1958,villalongamatias@example.net,+34941 239 835,Sevilla,46961274-W,0,0,0,0,0,0,0,0,24082,65,No,0,98,,144,0024
Alicia,Quintanilla,Mata,Mujer,1950-04-05,1950,celestinaraya@example.org,+34 884 561 391,Madrid,62790497-D,0,0,0,0,0,0,0,0,26917,73,No,0,21,,132,0025
Fermín,Amaya,Jimenez,Hombre,1928-01-31,1928,mayoralvirgilio@example.com,+34922461716,Valencia,62011900-C,0,0,0,0,0,0,0,0,35017,95,No,0,10,,149,0026
Vera,Sanmiguel,Palau,Mujer,1904-06-06,1904,martavara@example.com,+34803528482,Melilla,49929795-T,0,0,0,0,0,0,0,0,43656,119,No,0,34,,134,0027
Genoveva,Losada,Barreda,Mujer,1948-08-08,1948,mmontalban@example.org,+34 882 74 92 49,Navarra,43603082-Q,0,0,0,0,0,0,0,0,27522,75,No,0,2,,136,0028
Máxima,Ugarte,Borrás,Mujer,1942-03-31,1942,alcides86@example.net,+34 941 24 94 06,Pontevedra,19045873-P,0,0,0,0,0,0,0,0,29844,81,No,0,46,,140,0029
Santos,Roselló,Doménech,Hombre,1918-10-15,1918,rafael91@example.com,+34845 010 601,Álava,60104030-M,0,0,0,0,0,0,0,0,38412,105,No,0,44,,101,0030
Manu,Abellán,Tejedor,Mujer,1917-04-09,1917,alonsoserna@example.org,+34 841 92 10 74,Zamora,86254543-L,0,0,0,0,0,0,0,0,38966,106,No,0,20,,151,0031
Olivia,Aznar,Marqués,Mujer,1920-03-24,1920,crescenciabusquets@example.com,+34923 065 145,Lleida,15284544-C,0,0,0,0,0,0,0,0,37886,103,No,0,35,2022-06-13,130,0032
Cornelio,Arenas,Vendrell,Hombre,1908-03-26,1908,yessicaperal@example.net,+34 847 433 376,Almería,33332731-D,0,0,0,0,0,0,0,0,42267,115,No,0,94,,104,0033
Sebastián,Coll,Blázquez,Hombre,1953-07-08,1953,azabaleta@example.net,+34 923 56 55 51,Granada,35804150-S,0,0,0,0,0,0,0,0,25727,70,No,0,41,,123,0034
Flor,Cases,Tormo,Mujer,1956-02-03,1956,luciana88@example.net,+34883426459,Cádiz,70082423-V,0,0,0,0,0,0,0,0,24787,67,No,0,100,,113,0035
Natanael,Prats,Iriarte,Hombre,1952-06-24,1952,arcelia53@example.org,+34871 252 726,Navarra,23161698-O,0,0,0,0,0,0,0,0,26106,71,No,0,54,,136,0036
Lisandro,Molins,Sáez,Hombre,1927-09-27,1927,caneteernesto@example.net,+34 876035337,Santa Cruz de Tenerife,34733050-O,0,0,0,0,0,0,0,0,35143,96,No,0,79,,142,0037
Claudio,Batalla,Niño,Hombre,1930-01-28,1930,hernando15@example.net,+34943 96 50 11,La Rioja,32572692-W,0,0,0,0,0,0,0,0,34289,93,No,0,7,,128,0038
Begoña,Coca,Gargallo,Mujer,1913-02-27,1913,uojeda@example.com,+34871 65 72 46,Navarra,73667517-B,0,0,0,0,0,0,0,0,40468,110,No,0,5,,136,0039
Eutimio,Jódar,Rios,Hombre,1904-07-19,1904,lamasfrancisco-jose@example.com,+34 881 931 735,Cáceres,25671911-F,0,0,0,0,0,0,0,0,43613,119,No,0,6,,112,0040
Hilda,Carrasco,Coello,Mujer,1920-12-24,1920,jmarquez@example.net,+34 979 940 815,Córdoba,97392856-C,0,0,0,0,0,0,0,0,37611,102,No,0,86,,118,0041
Teresita,Cabrera,Egea,Mujer,1925-03-02,1925,banosrocio@example.org,+34 900 56 52 91,Guadalajara,30257889-Z,0,0,0,0,0,0,0,0,36082,98,No,0,81,,124,0042
Rosendo,Iglesias,Sainz,Hombre,1933-02-19,1933,galmagro@example.net,+34 820 39 00 75,Valencia,26225958-S,0,0,0,0,0,0,0,0,33171,90,No,0,45,,149,0043
León,Seco,Lozano,Hombre,1942-07-16,1942,salomaurora@example.org,+34844 422 027,"Coruña, A",60824479-B,0,0,0,0,0,0,0,0,29737,81,No,0,6,,119,0044
María Belén,Pomares,Gallego,Mujer,1957-10-02,1957,bcomas@example.org,+34849 40 86 11,Bizkaia,22923770-M,0,0,0,0,0,0,0,0,24180,66,No,0,76,,110,0045
Haydée,Álvarez,Gimeno,Mujer,1931-07-25,1931,palomaresjose-miguel@example.org,+34 972 55 02 81,Salamanca,90547554-G,0,0,0,0,0,0,0,0,33746,92,No,0,42,,141,0046
Inés,Puga,Teruel,Mujer,1952-12-27,1952,jgarate@example.org,+34884 084 744,Córdoba,57322288-K,0,0,0,0,0,0,0,0,25920,70,No,0,60,,118,0047
Guiomar,Roig,Feliu,Hombre,1922-01-26,1922,juanita69@example.org,+34 813 64 80 13,Melilla,20706850-I,0,0,0,0,0,0,0,0,37213,101,No,0,97,,134,0048
Ofelia,Mulet,Garrido,Mujer,1942-11-20,1942,carmelitacespedes@example.org,+34827 987 941,Huelva,90825366-I,0,0,0,0,0,0,0,0,29610,81,No,0,5,,125,0049
